"","year","state","pop"
"2248",1943,"MD",2089000
"2249",1944,"MD",2118000
"2250",1945,"MD",2096000
"2251",1946,"MD",2214000
"2252",1947,"MD",2248000
"2253",1948,"MD",2271000
"2254",1949,"MD",2329000
"2255",1950,"MD",2355000
"2256",1951,"MD",2441000
"2257",1952,"MD",2500000
"2258",1953,"MD",2567000
"2259",1954,"MD",2685000
"2260",1955,"MD",2742000
"2261",1956,"MD",2811000
"2262",1957,"MD",2873000
"2263",1958,"MD",2982000
"2264",1959,"MD",3066000
"2265",1960,"MD",3113000
"2266",1961,"MD",3176000
"2267",1962,"MD",3263000
"2268",1963,"MD",3386000
"2269",1964,"MD",3492000
"2270",1965,"MD",3600000
"2271",1966,"MD",3695000
"2272",1967,"MD",3757000
"2273",1968,"MD",3815000
"2274",1969,"MD",3868000
"2275",1970,"MD",3923897
"2276",1971,"MD",4018324
"2277",1972,"MD",4073499
"2278",1973,"MD",4097974
"2279",1974,"MD",4118815
"2280",1975,"MD",4139096
"2281",1976,"MD",4150539
"2282",1977,"MD",4169595
"2283",1978,"MD",4183603
"2284",1979,"MD",4191160
"2285",1980,"MD",4227643
"2286",1981,"MD",4261905
"2287",1982,"MD",4282923
"2288",1983,"MD",4313327
"2289",1984,"MD",4365243
"2290",1985,"MD",4413071
"2291",1986,"MD",4486957
"2292",1987,"MD",4565557
"2293",1988,"MD",4657904
"2294",1989,"MD",4727301
"2295",1990,"MD",4797431
"2296",1991,"MD",4856176
"2297",1992,"MD",4902545
"2298",1993,"MD",4942504
"2299",1994,"MD",4985411
"2300",1995,"MD",5023650
"2301",1996,"MD",5057142
"2302",1997,"MD",5092914
"2303",1998,"MD",5130072
"2304",1999,"MD",5171634
"2305",2000,"MD",5311034
"2306",2001,"MD",5374691
"2307",2002,"MD",5440389
"2308",2003,"MD",5496269
"2309",2004,"MD",5546935
"2310",2005,"MD",5592379
"2311",2006,"MD",5627367
"2312",2007,"MD",5653408
"2313",2008,"MD",5684965
"2314",2009,"MD",5730388
"2315",2010,"MD",5788101
"2316",2011,"MD",5843833
"2317",2012,"MD",5891819
"2318",2013,"MD",5938737
"2319",2014,"MD",5976407
"2320",2015,"MD",6006401
"2321",1900,"MA",2788000
"2322",1901,"MA",2794000
"2323",1902,"MA",2856000
"2324",1903,"MA",2924000
"2325",1904,"MA",2969000
"2326",1905,"MA",3018000
"2327",1906,"MA",3107000
"2328",1907,"MA",3183000
"2329",1908,"MA",3251000
"2330",1909,"MA",3316000
"2331",1910,"MA",3365000
"2332",1911,"MA",3383000
"2333",1912,"MA",3440000
"2334",1913,"MA",3534000
"2335",1914,"MA",3636000
"2336",1915,"MA",3705000
"2337",1916,"MA",3726000
"2338",1917,"MA",3738000
"2339",1918,"MA",3695000
"2340",1919,"MA",3785000
"2341",1920,"MA",3882000
"2342",1921,"MA",3951000
"2343",1922,"MA",4010000
"2344",1923,"MA",4057000
"2345",1924,"MA",4102000
"2346",1925,"MA",4154000
"2347",1926,"MA",4194000
"2348",1927,"MA",4223000
"2349",1928,"MA",4217000
"2350",1929,"MA",4229000
"2351",1930,"MA",4250000
"2352",1931,"MA",4248000
"2353",1932,"MA",4259000
"2354",1933,"MA",4282000
"2355",1934,"MA",4305000
"2356",1935,"MA",4343000
"2357",1936,"MA",4355000
"2358",1937,"MA",4358000
"2359",1938,"MA",4365000
"2360",1939,"MA",4347000
"2361",1940,"MA",4318000
"2362",1941,"MA",4389000
"2363",1942,"MA",4370000
"2364",1943,"MA",4257000
"2365",1944,"MA",4192000
"2366",1945,"MA",4201000
"2367",1946,"MA",4494000
"2368",1947,"MA",4580000
"2369",1948,"MA",4674000
"2370",1949,"MA",4741000
"2371",1950,"MA",4686000
"2372",1951,"MA",4654000
"2373",1952,"MA",4650000
"2374",1953,"MA",4806000
"2375",1954,"MA",4910000
"2376",1955,"MA",4882000
"2377",1956,"MA",4891000
"2378",1957,"MA",4929000
"2379",1958,"MA",5010000
"2380",1959,"MA",5117000
"2381",1960,"MA",5160000
"2382",1961,"MA",5219000
"2383",1962,"MA",5263000
"2384",1963,"MA",5344000
"2385",1964,"MA",5448000
"2386",1965,"MA",5502000
"2387",1966,"MA",5535000
"2388",1967,"MA",5594000
"2389",1968,"MA",5618000
"2390",1969,"MA",5650000
"2391",1970,"MA",5689170
"2392",1971,"MA",5737580
"2393",1972,"MA",5760302
"2394",1973,"MA",5781172
"2395",1974,"MA",5773548
"2396",1975,"MA",5757756
"2397",1976,"MA",5743672
"2398",1977,"MA",5738199
"2399",1978,"MA",5736469
"2400",1979,"MA",5738404
"2401",1980,"MA",5746075
"2402",1981,"MA",5768685
"2403",1982,"MA",5771222
"2404",1983,"MA",5799407
"2405",1984,"MA",5840773
"2406",1985,"MA",5880733
"2407",1986,"MA",5902678
"2408",1987,"MA",5935204
"2409",1988,"MA",5979982
"2410",1989,"MA",6015478
"2411",1990,"MA",6018664
"2412",1991,"MA",5998652
"2413",1992,"MA",5993474
"2414",1993,"MA",6010884
"2415",1994,"MA",6031352
"2416",1995,"MA",6062335
"2417",1996,"MA",6085393
"2418",1997,"MA",6115476
"2419",1998,"MA",6144407
"2420",1999,"MA",6175169
"2421",2000,"MA",6361104
"2422",2001,"MA",6397634
"2423",2002,"MA",6417206
"2424",2003,"MA",6422565
"2425",2004,"MA",6412281
"2426",2005,"MA",6403290
"2427",2006,"MA",6410084
"2428",2007,"MA",6431559
"2429",2008,"MA",6468967
"2430",2009,"MA",6517613
"2431",2010,"MA",6564073
"2432",2011,"MA",6612270
"2433",2012,"MA",6655829
"2434",2013,"MA",6708874
"2435",2014,"MA",6745408
"2436",2015,"MA",6794422
"2437",1900,"MI",2423000
"2438",1901,"MI",2450000
"2439",1902,"MI",2477000
"2440",1903,"MI",2505000
"2441",1904,"MI",2534000
"2442",1905,"MI",2579000
"2443",1906,"MI",2626000
"2444",1907,"MI",2693000
"2445",1908,"MI",2722000
"2446",1909,"MI",2771000
"2447",1910,"MI",2832000
"2448",1911,"MI",2916000
"2449",1912,"MI",2997000
"2450",1913,"MI",3101000
"2451",1914,"MI",3183000
"2452",1915,"MI",3263000
"2453",1916,"MI",3353000
"2454",1917,"MI",3451000
"2455",1918,"MI",3499000
"2456",1919,"MI",3591000
"2457",1920,"MI",3723000
"2458",1921,"MI",3872000
"2459",1922,"MI",3942000
"2460",1923,"MI",4063000
"2461",1924,"MI",4214000
"2462",1925,"MI",4331000
"2463",1926,"MI",4451000
"2464",1927,"MI",4589000
"2465",1928,"MI",4665000
"2466",1929,"MI",4795000
"2467",1930,"MI",4834000
"2468",1931,"MI",4798000
"2469",1932,"MI",4780000
"2470",1933,"MI",4780000
"2471",1934,"MI",4798000
"2472",1935,"MI",4838000
"2473",1936,"MI",4889000
"2474",1937,"MI",4968000
"2475",1938,"MI",5056000
"2476",1939,"MI",5156000
"2477",1940,"MI",5315000
"2478",1941,"MI",5472000
"2479",1942,"MI",5549000
"2480",1943,"MI",5405000
"2481",1944,"MI",5467000
"2482",1945,"MI",5475000
"2483",1946,"MI",5874000
"2484",1947,"MI",6076000
"2485",1948,"MI",6213000
"2486",1949,"MI",6332000
"2487",1950,"MI",6407000
"2488",1951,"MI",6497000
"2489",1952,"MI",6650000
"2490",1953,"MI",6822000
"2491",1954,"MI",7066000
"2492",1955,"MI",7285000
"2493",1956,"MI",7467000
"2494",1957,"MI",7569000
"2495",1958,"MI",7667000
"2496",1959,"MI",7767000
"2497",1960,"MI",7834000
"2498",1961,"MI",7893000
"2499",1962,"MI",7933000
"2500",1963,"MI",8058000
"2501",1964,"MI",8187000
"2502",1965,"MI",8357000
"2503",1966,"MI",8512000
"2504",1967,"MI",8630000
"2505",1968,"MI",8696000
"2506",1969,"MI",8781000
"2507",1970,"MI",8881826
"2508",1971,"MI",8974186
"2509",1972,"MI",9028944
"2510",1973,"MI",9077956
"2511",1974,"MI",9117507
"2512",1975,"MI",9117668
"2513",1976,"MI",9129205
"2514",1977,"MI",9171110
"2515",1978,"MI",9217761
"2516",1979,"MI",9266268
"2517",1980,"MI",9255553
"2518",1981,"MI",9209287
"2519",1982,"MI",9115198
"2520",1983,"MI",9047754
"2521",1984,"MI",9049452
"2522",1985,"MI",9076293
"2523",1986,"MI",9127775
"2524",1987,"MI",9187481
"2525",1988,"MI",9217998
"2526",1989,"MI",9253295
"2527",1990,"MI",9310462
"2528",1991,"MI",9395022
"2529",1992,"MI",9470323
"2530",1993,"MI",9529240
"2531",1994,"MI",9584481
"2532",1995,"MI",9659871
"2533",1996,"MI",9739184
"2534",1997,"MI",9785450
"2535",1998,"MI",9820231
"2536",1999,"MI",9863775
"2537",2000,"MI",9952450
"2538",2001,"MI",9991120
"2539",2002,"MI",10015710
"2540",2003,"MI",10041152
"2541",2004,"MI",10055315
"2542",2005,"MI",10051137
"2543",2006,"MI",10036081
"2544",2007,"MI",10001284
"2545",2008,"MI",9946889
"2546",2009,"MI",9901591
"2547",2010,"MI",9876498
"2548",2011,"MI",9875736
"2549",2012,"MI",9884781
"2550",2013,"MI",9898193
"2551",2014,"MI",9909877
"2552",2015,"MI",9922576
"2553",1900,"MN",1754000
"2554",1901,"MN",1805000
"2555",1902,"MN",1862000
"2556",1903,"MN",1901000
"2557",1904,"MN",1945000
"2558",1905,"MN",1981000
"2559",1906,"MN",1987000
"2560",1907,"MN",1995000
"2561",1908,"MN",2020000
"2562",1909,"MN",2051000
"2563",1910,"MN",2086000
"2564",1911,"MN",2119000
"2565",1912,"MN",2147000
"2566",1913,"MN",2190000
"2567",1914,"MN",2234000
"2568",1915,"MN",2273000
"2569",1916,"MN",2308000
"2570",1917,"MN",2329000
"2571",1918,"MN",2291000
"2572",1919,"MN",2346000
"2573",1920,"MN",2403000
"2574",1921,"MN",2434000
"2575",1922,"MN",2451000
"2576",1923,"MN",2487000
"2577",1924,"MN",2521000
"2578",1925,"MN",2540000
"2579",1926,"MN",2560000
"2580",1927,"MN",2588000
"2581",1928,"MN",2592000
"2582",1929,"MN",2572000
"2583",1930,"MN",2576000
"2584",1931,"MN",2614000
"2585",1932,"MN",2646000
"2586",1933,"MN",2673000
"2587",1934,"MN",2695000
"2588",1935,"MN",2717000
"2589",1936,"MN",2734000
"2590",1937,"MN",2746000
"2591",1938,"MN",2753000
"2592",1939,"MN",2771000
"2593",1940,"MN",2790000
"2594",1941,"MN",2718000
"2595",1942,"MN",2662000
"2596",1943,"MN",2577000
"2597",1944,"MN",2526000
"2598",1945,"MN",2537000
"2599",1946,"MN",2734000
"2600",1947,"MN",2796000
"2601",1948,"MN",2868000
"2602",1949,"MN",2935000
"2603",1950,"MN",2997000
"2604",1951,"MN",3010000
"2605",1952,"MN",3030000
"2606",1953,"MN",3050000
"2607",1954,"MN",3113000
"2608",1955,"MN",3172000
"2609",1956,"MN",3240000
"2610",1957,"MN",3274000
"2611",1958,"MN",3313000
"2612",1959,"MN",3366000
"2613",1960,"MN",3425000
"2614",1961,"MN",3470000
"2615",1962,"MN",3513000
"2616",1963,"MN",3531000
"2617",1964,"MN",3558000
"2618",1965,"MN",3592000
"2619",1966,"MN",3617000
"2620",1967,"MN",3659000
"2621",1968,"MN",3703000
"2622",1969,"MN",3758000
"2623",1970,"MN",3806103
"2624",1971,"MN",3853486
"2625",1972,"MN",3869747
"2626",1973,"MN",3889332
"2627",1974,"MN",3903925
"2628",1975,"MN",3932515
"2629",1976,"MN",3964680
"2630",1977,"MN",3989364
"2631",1978,"MN",4015341
"2632",1979,"MN",4050316
"2633",1980,"MN",4085017
"2634",1981,"MN",4111728
"2635",1982,"MN",4131450
"2636",1983,"MN",4141456
"2637",1984,"MN",4157706
"2638",1985,"MN",4184302
"2639",1986,"MN",4205212
"2640",1987,"MN",4235136
"2641",1988,"MN",4296166
"2642",1989,"MN",4338057
"2643",1990,"MN",4387283
"2644",1991,"MN",4427429
"2645",1992,"MN",4471503
"2646",1993,"MN",4521709
"2647",1994,"MN",4566028
"2648",1995,"MN",4605445
"2649",1996,"MN",4647723
"2650",1997,"MN",4687726
"2651",1998,"MN",4726411
"2652",1999,"MN",4775508
"2653",2000,"MN",4933692
"2654",2001,"MN",4982796
"2655",2002,"MN",5018935
"2656",2003,"MN",5053572
"2657",2004,"MN",5087713
"2658",2005,"MN",5119598
"2659",2006,"MN",5163555
"2660",2007,"MN",5207203
"2661",2008,"MN",5247018
"2662",2009,"MN",5281203
"2663",2010,"MN",5310418
"2664",2011,"MN",5348036
"2665",2012,"MN",5380615
"2666",2013,"MN",5422060
"2667",2014,"MN",5457173
"2668",2015,"MN",5489594
"2669",1900,"MS",1553000
"2670",1901,"MS",1578000
"2671",1902,"MS",1603000
"2672",1903,"MS",1628000
"2673",1904,"MS",1653000
"2674",1905,"MS",1678000
"2675",1906,"MS",1703000
"2676",1907,"MS",1728000
"2677",1908,"MS",1753000
"2678",1909,"MS",1777000
"2679",1910,"MS",1802000
"2680",1911,"MS",1810000
"2681",1912,"MS",1817000
"2682",1913,"MS",1827000
"2683",1914,"MS",1832000
"2684",1915,"MS",1826000
"2685",1916,"MS",1823000
"2686",1917,"MS",1820000
"2687",1918,"MS",1813000
"2688",1919,"MS",1790000
"2689",1920,"MS",1800000
"2690",1921,"MS",1823000
"2691",1922,"MS",1836000
"2692",1923,"MS",1858000
"2693",1924,"MS",1886000
"2694",1925,"MS",1910000
"2695",1926,"MS",1935000
"2696",1927,"MS",1962000
"2697",1928,"MS",1981000
"2698",1929,"MS",1998000
"2699",1930,"MS",2006000
"2700",1931,"MS",1994000
"2701",1932,"MS",2004000
"2702",1933,"MS",2031000
"2703",1934,"MS",2050000
"2704",1935,"MS",2061000
"2705",1936,"MS",2072000
"2706",1937,"MS",2086000
"2707",1938,"MS",2127000
"2708",1939,"MS",2168000
"2709",1940,"MS",2176000
"2710",1941,"MS",2184000
"2711",1942,"MS",2210000
"2712",1943,"MS",2280000
"2713",1944,"MS",2167000
"2714",1945,"MS",2090000
"2715",1946,"MS",2064000
"2716",1947,"MS",2107000
"2717",1948,"MS",2076000
"2718",1949,"MS",2085000
"2719",1950,"MS",2176000
"2720",1951,"MS",2163000
"2721",1952,"MS",2152000
"2722",1953,"MS",2105000
"2723",1954,"MS",2064000
"2724",1955,"MS",2060000
"2725",1956,"MS",2086000
"2726",1957,"MS",2088000
"2727",1958,"MS",2086000
"2728",1959,"MS",2138000
"2729",1960,"MS",2182000
"2730",1961,"MS",2206000
"2731",1962,"MS",2243000
"2732",1963,"MS",2244000
"2733",1964,"MS",2241000
"2734",1965,"MS",2246000
"2735",1966,"MS",2245000
"2736",1967,"MS",2228000
"2737",1968,"MS",2219000
"2738",1969,"MS",2220000
"2739",1970,"MS",2216994
"2740",1971,"MS",2265432
"2741",1972,"MS",2307117
"2742",1973,"MS",2349546
"2743",1974,"MS",2378268
"2744",1975,"MS",2399449
"2745",1976,"MS",2429756
"2746",1977,"MS",2459201
"2747",1978,"MS",2487816
"2748",1979,"MS",2507069
"2749",1980,"MS",2525342
"2750",1981,"MS",2539036
"2751",1982,"MS",2556777
"2752",1983,"MS",2567717
"2753",1984,"MS",2578051
"2754",1985,"MS",2588102
"2755",1986,"MS",2593597
"2756",1987,"MS",2588545
"2757",1988,"MS",2580352
"2758",1989,"MS",2574269
"2759",1990,"MS",2577426
"2760",1991,"MS",2591230
"2761",1992,"MS",2610193
"2762",1993,"MS",2635574
"2763",1994,"MS",2663450
"2764",1995,"MS",2690788
"2765",1996,"MS",2709925
"2766",1997,"MS",2731826
"2767",1998,"MS",2751335
"2768",1999,"MS",2768619
"2769",2000,"MS",2848353
"2770",2001,"MS",2852994
"2771",2002,"MS",2858681
"2772",2003,"MS",2868312
"2773",2004,"MS",2889010
"2774",2005,"MS",2905943
"2775",2006,"MS",2904978
"2776",2007,"MS",2928350
"2777",2008,"MS",2947806
"2778",2009,"MS",2958774
"2779",2010,"MS",2970811
"2780",2011,"MS",2978464
"2781",2012,"MS",2986137
"2782",2013,"MS",2992206
"2783",2014,"MS",2994079
"2784",2015,"MS",2992333
"2785",1900,"MO",3108000
"2786",1901,"MO",3128000
"2787",1902,"MO",3147000
"2788",1903,"MO",3166000
"2789",1904,"MO",3185000
"2790",1905,"MO",3204000
"2791",1906,"MO",3223000
"2792",1907,"MO",3242000
"2793",1908,"MO",3260000
"2794",1909,"MO",3279000
"2795",1910,"MO",3301000
"2796",1911,"MO",3317000
"2797",1912,"MO",3344000
"2798",1913,"MO",3409000
"2799",1914,"MO",3467000
"2800",1915,"MO",3492000
"2801",1916,"MO",3527000
"2802",1917,"MO",3470000
"2803",1918,"MO",3325000
"2804",1919,"MO",3371000
"2805",1920,"MO",3404000
"2806",1921,"MO",3429000
"2807",1922,"MO",3437000
"2808",1923,"MO",3454000
"2809",1924,"MO",3508000
"2810",1925,"MO",3526000
"2811",1926,"MO",3556000
"2812",1927,"MO",3576000
"2813",1928,"MO",3601000
"2814",1929,"MO",3622000
"2815",1930,"MO",3646000
"2816",1931,"MO",3711000
"2817",1932,"MO",3746000
"2818",1933,"MO",3773000
"2819",1934,"MO",3784000
"2820",1935,"MO",3798000
"2821",1936,"MO",3801000
"2822",1937,"MO",3794000
"2823",1938,"MO",3781000
"2824",1939,"MO",3783000
"2825",1940,"MO",3786000
"2826",1941,"MO",3811000
"2827",1942,"MO",3829000
"2828",1943,"MO",3705000
"2829",1944,"MO",3560000
"2830",1945,"MO",3516000
"2831",1946,"MO",3746000
"2832",1947,"MO",3845000
"2833",1948,"MO",3844000
"2834",1949,"MO",3882000
"2835",1950,"MO",3964000
"2836",1951,"MO",4015000
"2837",1952,"MO",3972000
"2838",1953,"MO",4020000
"2839",1954,"MO",4066000
"2840",1955,"MO",4134000
"2841",1956,"MO",4163000
"2842",1957,"MO",4189000
"2843",1958,"MO",4186000
"2844",1959,"MO",4258000
"2845",1960,"MO",4326000
"2846",1961,"MO",4349000
"2847",1962,"MO",4357000
"2848",1963,"MO",4392000
"2849",1964,"MO",4442000
"2850",1965,"MO",4467000
"2851",1966,"MO",4523000
"2852",1967,"MO",4539000
"2853",1968,"MO",4568000
"2854",1969,"MO",4640000
"2855",1970,"MO",4677623
"2856",1971,"MO",4725764
"2857",1972,"MO",4758780
"2858",1973,"MO",4782645
"2859",1974,"MO",4795930
"2860",1975,"MO",4808308
"2861",1976,"MO",4839029
"2862",1977,"MO",4863173
"2863",1978,"MO",4889399
"2864",1979,"MO",4912430
"2865",1980,"MO",4921966
"2866",1981,"MO",4932064
"2867",1982,"MO",4929451
"2868",1983,"MO",4943733
"2869",1984,"MO",4975278
"2870",1985,"MO",5000268
"2871",1986,"MO",5023068
"2872",1987,"MO",5056696
"2873",1988,"MO",5081736
"2874",1989,"MO",5095830
"2875",1990,"MO",5126370
"2876",1991,"MO",5157770
"2877",1992,"MO",5193686
"2878",1993,"MO",5237757
"2879",1994,"MO",5281206
"2880",1995,"MO",5324610
"2881",1996,"MO",5367888
"2882",1997,"MO",5407113
"2883",1998,"MO",5437562
"2884",1999,"MO",5468338
"2885",2000,"MO",5607285
"2886",2001,"MO",5641142
"2887",2002,"MO",5674825
"2888",2003,"MO",5709403
"2889",2004,"MO",5747741
"2890",2005,"MO",5790300
"2891",2006,"MO",5842704
"2892",2007,"MO",5887612
"2893",2008,"MO",5923916
"2894",2009,"MO",5961088
"2895",2010,"MO",5996085
"2896",2011,"MO",6010544
"2897",2012,"MO",6025281
"2898",2013,"MO",6044917
"2899",2014,"MO",6063589
"2900",2015,"MO",6083672
"2901",1900,"MT",245000
"2902",1901,"MT",261000
"2903",1902,"MT",270000
"2904",1903,"MT",282000
"2905",1904,"MT",293000
"2906",1905,"MT",305000
"2907",1906,"MT",322000
"2908",1907,"MT",332000
"2909",1908,"MT",346000
"2910",1909,"MT",363000
"2911",1910,"MT",380000
"2912",1911,"MT",397000
"2913",1912,"MT",414000
"2914",1913,"MT",433000
"2915",1914,"MT",452000
"2916",1915,"MT",469000
"2917",1916,"MT",487000
"2918",1917,"MT",505000
"2919",1918,"MT",501000
"2920",1919,"MT",534000
"2921",1920,"MT",543000
"2922",1921,"MT",546000
"2923",1922,"MT",543000
"2924",1923,"MT",538000
"2925",1924,"MT",538000
"2926",1925,"MT",535000
"2927",1926,"MT",531000
"2928",1927,"MT",527000
"2929",1928,"MT",541000
"2930",1929,"MT",524000
"2931",1930,"MT",539000
"2932",1931,"MT",540000
"2933",1932,"MT",540000
"2934",1933,"MT",541000
"2935",1934,"MT",545000
"2936",1935,"MT",550000
"2937",1936,"MT",554000
"2938",1937,"MT",554000
"2939",1938,"MT",552000
"2940",1939,"MT",555000
"2941",1940,"MT",558000
"2942",1941,"MT",543000
"2943",1942,"MT",518000
"2944",1943,"MT",485000
"2945",1944,"MT",469000
"2946",1945,"MT",477000
"2947",1946,"MT",514000
"2948",1947,"MT",531000
"2949",1948,"MT",542000
"2950",1949,"MT",569000
"2951",1950,"MT",593000
"2952",1951,"MT",596000
"2953",1952,"MT",602000
"2954",1953,"MT",616000
"2955",1954,"MT",624000
"2956",1955,"MT",636000
"2957",1956,"MT",656000
"2958",1957,"MT",667000
"2959",1958,"MT",666000
"2960",1959,"MT",669000
"2961",1960,"MT",679000
"2962",1961,"MT",696000
"2963",1962,"MT",698000
"2964",1963,"MT",703000
"2965",1964,"MT",706000
"2966",1965,"MT",706000
"2967",1966,"MT",707000
"2968",1967,"MT",701000
"2969",1968,"MT",7e+05
"2970",1969,"MT",694000
"2971",1970,"MT",694409
"2972",1971,"MT",710814
"2973",1972,"MT",718732
"2974",1973,"MT",726798
"2975",1974,"MT",736419
"2976",1975,"MT",748208
"2977",1976,"MT",757317
"2978",1977,"MT",769953
"2979",1978,"MT",782317
"2980",1979,"MT",787305
"2981",1980,"MT",788752
"2982",1981,"MT",795328
"2983",1982,"MT",803986
"2984",1983,"MT",814031
"2985",1984,"MT",820905
"2986",1985,"MT",822320
"2987",1986,"MT",813739
"2988",1987,"MT",805063
"2989",1988,"MT",800202
"2990",1989,"MT",799636
"2991",1990,"MT",799824
"2992",1991,"MT",807837
"2993",1992,"MT",822436
"2994",1993,"MT",839876
"2995",1994,"MT",854923
"2996",1995,"MT",868522
"2997",1996,"MT",876656
"2998",1997,"MT",878706
"2999",1998,"MT",879533
"3000",1999,"MT",882779
"3001",2000,"MT",903773
"3002",2001,"MT",906961
"3003",2002,"MT",911667
"3004",2003,"MT",919630
"3005",2004,"MT",930009
"3006",2005,"MT",940102
"3007",2006,"MT",952692
"3008",2007,"MT",964706
"3009",2008,"MT",976415
"3010",2009,"MT",983982
"3011",2010,"MT",990575
"3012",2011,"MT",997661
"3013",2012,"MT",1005163
"3014",2013,"MT",1014864
"3015",2014,"MT",1023579
"3016",2015,"MT",1032949
"3017",1900,"NE",1067000
"3018",1901,"NE",1078000
"3019",1902,"NE",1089000
"3020",1903,"NE",1104000
"3021",1904,"NE",1119000
"3022",1905,"NE",1129000
"3023",1906,"NE",1138000
"3024",1907,"NE",1149000
"3025",1908,"NE",1161000
"3026",1909,"NE",1177000
"3027",1910,"NE",1198000
"3028",1911,"NE",1216000
"3029",1912,"NE",1232000
"3030",1913,"NE",1246000
"3031",1914,"NE",1264000
"3032",1915,"NE",1272000
"3033",1916,"NE",1275000
"3034",1917,"NE",1285000
"3035",1918,"NE",1266000
"3036",1919,"NE",1290000
"3037",1920,"NE",1300000
"3038",1921,"NE",1309000
"3039",1922,"NE",1312000
"3040",1923,"NE",1321000
"3041",1924,"NE",1333000
"3042",1925,"NE",1343000
"3043",1926,"NE",1353000
"3044",1927,"NE",1365000
"3045",1928,"NE",1371000
"3046",1929,"NE",1375000
"3047",1930,"NE",1380000
"3048",1931,"NE",1384000
"3049",1932,"NE",1386000
"3050",1933,"NE",1385000
"3051",1934,"NE",1382000
"3052",1935,"NE",1375000
"3053",1936,"NE",1358000
"3054",1937,"NE",1339000
"3055",1938,"NE",1326000
"3056",1939,"NE",1318000
"3057",1940,"NE",1316000
"3058",1941,"NE",1272000
"3059",1942,"NE",1239000
"3060",1943,"NE",1241000
"3061",1944,"NE",1216000
"3062",1945,"NE",1211000
"3063",1946,"NE",1256000
"3064",1947,"NE",1265000
"3065",1948,"NE",1265000
"3066",1949,"NE",1302000
"3067",1950,"NE",1327000
"3068",1951,"NE",1316000
"3069",1952,"NE",1311000
"3070",1953,"NE",1318000
"3071",1954,"NE",1340000
"3072",1955,"NE",1374000
"3073",1956,"NE",1397000
"3074",1957,"NE",1394000
"3075",1958,"NE",1383000
"3076",1959,"NE",1397000
"3077",1960,"NE",1417000
"3078",1961,"NE",1446000
"3079",1962,"NE",1464000
"3080",1963,"NE",1476000
"3081",1964,"NE",1482000
"3082",1965,"NE",1471000
"3083",1966,"NE",1456000
"3084",1967,"NE",1457000
"3085",1968,"NE",1467000
"3086",1969,"NE",1474000
"3087",1970,"NE",1485333
"3088",1971,"NE",1504604
"3089",1972,"NE",1519013
"3090",1973,"NE",1529567
"3091",1974,"NE",1539191
"3092",1975,"NE",1543117
"3093",1976,"NE",1550911
"3094",1977,"NE",1556842
"3095",1978,"NE",1563884
"3096",1979,"NE",1567344
"3097",1980,"NE",1572296
"3098",1981,"NE",1578515
"3099",1982,"NE",1581780
"3100",1983,"NE",1584293
"3101",1984,"NE",1588639
"3102",1985,"NE",1584664
"3103",1986,"NE",1574333
"3104",1987,"NE",1566547
"3105",1988,"NE",1571477
"3106",1989,"NE",1574864
"3107",1990,"NE",1580664
"3108",1991,"NE",1590805
"3109",1992,"NE",1602406
"3110",1993,"NE",1612149
"3111",1994,"NE",1621551
"3112",1995,"NE",1635142
"3113",1996,"NE",1647657
"3114",1997,"NE",1656042
"3115",1998,"NE",1660772
"3116",1999,"NE",1666028
"3117",2000,"NE",1713820
"3118",2001,"NE",1719836
"3119",2002,"NE",1728292
"3120",2003,"NE",1738643
"3121",2004,"NE",1749370
"3122",2005,"NE",1761497
"3123",2006,"NE",1772693
"3124",2007,"NE",1783440
"3125",2008,"NE",1796378
"3126",2009,"NE",1812683
"3127",2010,"NE",1829865
"3128",2011,"NE",1842232
"3129",2012,"NE",1855487
"3130",2013,"NE",1868969
"3131",2014,"NE",1881503
"3132",2015,"NE",1896190
"3133",1900,"NV",43000
"3134",1901,"NV",45000
"3135",1902,"NV",49000
"3136",1903,"NV",52000
"3137",1904,"NV",56000
"3138",1905,"NV",59000
"3139",1906,"NV",64000
"3140",1907,"NV",68000
"3141",1908,"NV",73000
"3142",1909,"NV",78000
"3143",1910,"NV",82000
"3144",1911,"NV",81000
"3145",1912,"NV",81000
"3146",1913,"NV",82000
"3147",1914,"NV",83000
"3148",1915,"NV",82000
"3149",1916,"NV",82000
"3150",1917,"NV",81000
"3151",1918,"NV",77000
"3152",1919,"NV",77000
"3153",1920,"NV",78000
"3154",1921,"NV",80000
"3155",1922,"NV",81000
"3156",1923,"NV",82000
"3157",1924,"NV",84000
"3158",1925,"NV",85000
"3159",1926,"NV",87000
"3160",1927,"NV",88000
"3161",1928,"NV",89000
"3162",1929,"NV",90000
"3163",1930,"NV",92000
"3164",1931,"NV",94000
"3165",1932,"NV",96000
"3166",1933,"NV",96000
"3167",1934,"NV",98000
"3168",1935,"NV",1e+05
"3169",1936,"NV",101000
"3170",1937,"NV",103000
"3171",1938,"NV",105000
"3172",1939,"NV",107000
"3173",1940,"NV",113000
"3174",1941,"NV",120000
"3175",1942,"NV",137000
"3176",1943,"NV",151000
"3177",1944,"NV",153000
"3178",1945,"NV",149000
"3179",1946,"NV",143000
"3180",1947,"NV",149000
"3181",1948,"NV",156000
"3182",1949,"NV",157000
"3183",1950,"NV",162000
"3184",1951,"NV",168000
"3185",1952,"NV",181000
"3186",1953,"NV",195000
"3187",1954,"NV",213000
"3188",1955,"NV",237000
"3189",1956,"NV",250000
"3190",1957,"NV",260000
